product_id,field,state,value,reason,method,review_status,physical_pages,source_sha256
product:B18,sku,known,B18,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18,widthIn,known,18,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18FD,sku,known,B18FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B18FD,widthIn,known,18,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21,sku,known,B21,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21,widthIn,known,21,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21FD,sku,known,B21FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B21FD,widthIn,known,21,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
